canonical_name,price_bucket,sample_count,avg_mat_unit_price,avg_labor_unit_price,avg_exp_unit_price,mat_ratio,labor_ratio,exp_ratio,source_files
벽체우레탄,25000-25999,2,4250.0,4500.0,250.0,47.2,50.0,2.8,"100평~200평 미만 우레탄_25,000원(0.5mm당 1600원).xlsx,200평 이상 미만 우레탄_25,000원(0.5mm당 1500원).xlsx"
벽체우레탄,26000-26999,2,4250.0,4500.0,250.0,47.2,50.0,2.8,"100평~200평 미만 우레탄_26,000원(0.5mm당 2000원).xlsx,200평 이상 미만 우레탄_26,000원(0.5mm당 1500원).xlsx"
벽체우레탄,27000-27999,1,4500.0,4500.0,500.0,47.4,47.4,5.3,"100평~200평 미만 우레탄_27,000원(0.5mm당 2000원).xlsx"
벽체우레탄,28000-28999,1,4500.0,4500.0,500.0,47.4,47.4,5.3,"100평~200평 미만 우레탄_28,000원(0.5mm당 2000원).xlsx"
벽체우레탄,29000-29999,1,4000.0,4500.0,0.0,47.1,52.9,0.0,"200평 이상 복합_29,000원(0.5mm당 1500원).xlsx"
벽체우레탄,30000-30999,1,4000.0,4500.0,0.0,47.1,52.9,0.0,"200평 이상 복합_30,000원(0.5mm당 1500원).xlsx"
벽체우레탄,31000-31999,2,4500.0,4400.0,250.0,49.2,48.1,2.7,"200평 이상 복합_31,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_31,000원.xlsx"
벽체우레탄,32000-32999,3,4500.0,4433.3,333.3,48.6,47.8,3.6,"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx,200평 이상 복합_32,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_32,000원.xlsx"
벽체우레탄,33000-33999,2,4750.0,4400.0,500.0,49.2,45.6,5.2,"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_33,000원.xlsx"
벽체우레탄,34000-34999,2,4750.0,4400.0,250.0,50.5,46.8,2.7,"100평~200평 미만 복합_34,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_34,000원.xlsx"
